BC6,press_1min,temp_1min,rh_1min,speed_true_1min,lat,lon
0.763,1008.7,14.7,67.0,1.4,36.33091666666666,120.73398666666665
2.869,1009.7,11.5,92.0,11.5,36.23006,120.84576000000001
2.371,1010.1,11.5,95.0,6.0,36.074735,120.96117666666667
1.895,1009.2,11.6,95.0,10.4,35.908725,121.05823333333335
1.817,1008.7,11.4,95.0,9.0,35.743786666666665,121.15022166666668
1.36,1008.6,10.9,97.0,9.6,35.57865833333333,121.24421666666666
1.594,1008.6,11.0,97.0,9.5,35.41404333333334,121.34044000000002
0.869,1008.6,11.3,98.0,9.9,35.25005833333333,121.43544333333332
1.73,1009.2,11.5,98.0,10.5,35.085858333333334,121.52805166666668
2.33,1009.8,12.5,98.0,13.3,34.92361666666667,121.619285
2.155,1010.2,12.4,98.0,11.5,34.75941833333333,121.69111499999998
1.684,1010.1,13.0,98.0,12.1,34.60820166666667,121.80117666666666
1.612,1010.0,13.5,97.0,12.4,34.45299,121.8867866666667
1.088,1010.2,13.2,96.0,12.9,34.34237166666667,122.02822333333334
1.104,1010.1,13.3,97.0,9.4,34.19212833333333,122.14588166666665
1.146,1009.9,13.0,97.0,9.5,34.018575,122.21908833333335
1.237,1009.8,13.3,97.0,9.8,33.84970666666667,122.30744833333334
1.261,1009.7,13.3,98.0,9.5,33.67865333333334,122.39033833333332
1.173,1009.8,13.2,98.0,8.6,33.503571666666666,122.42492500000002
1.177,1010.2,13.1,98.0,7.0,33.32494,122.43497666666664
1.646,1010.5,13.3,98.0,7.7,33.15266166666667,122.47517833333335
1.571,1010.5,13.1,98.0,5.8,32.98120833333333,122.49419166666667
1.642,1010.6,13.3,98.0,6.5,32.83964333333333,122.48098666666668
1.123,1010.8,13.5,98.0,7.0,32.694788333333335,122.48545
1.076,1010.5,14.1,98.0,6.2,32.52617166666666,122.47396833333333
1.771,1010.0,14.8,98.0,4.8,32.352781666666665,122.46799166666666
2.452,1009.5,16.3,98.0,4.7,32.176481666666675,122.46478
2.685,1009.0,17.4,97.0,4.7,31.99505333333333,122.47749999999998
2.745,1008.6,18.6,91.0,4.8,31.81747833333333,122.48912999999999
2.163,1008.4,18.6,92.0,5.5,31.691983333333333,122.49965833333331
1.751,1008.2,18.6,93.0,7.4,31.69380333333334,122.49931999999998
1.858,1008.5,18.4,93.0,9.1,31.727908333333335,122.60692166666666
1.639,1009.1,17.5,95.0,7.9,31.787873333333334,122.80989333333332
1.255,1009.6,16.0,97.0,8.8,31.863708333333335,122.94927166666668
2.36,1010.3,15.6,98.0,8.9,31.867935000000006,123.02899500000001
0.781,1010.2,15.9,98.0,3.9,32.1683,124.00130166666668
2.069,1010.3,15.7,98.0,8.0,32.28176500000001,124.3066466666667
1.318,1010.2,15.4,98.0,7.9,32.34762166666667,124.49037000000001
1.537,1010.3,15.5,98.0,6.7,32.34544333333333,124.48903
1.927,1011.1,16.0,98.0,6.8,32.22237166666667,124.59318666666667
1.554,1011.6,16.5,98.0,5.5,32.07635166666667,124.69673333333334
0.713,1011.8,17.0,98.0,6.2,31.927646666666668,124.80786
1.931,1011.2,17.1,98.0,6.4,31.767058333333328,124.91081666666665
2.572,1010.6,17.0,98.0,6.6,31.614315,125.02972166666666
1.704,1010.0,17.1,98.0,6.4,31.433871666666665,125.09196833333331
2.03,1009.6,17.3,98.0,5.7,31.377198333333332,125.10934000000002
1.761,1009.5,17.4,98.0,6.2,31.28924166666667,125.16685500000001
1.915,1009.5,17.9,98.0,6.9,31.138326666666664,125.26379333333334
2.085,1009.7,18.1,98.0,7.3,30.981755,125.34258666666669
2.535,1009.9,18.6,98.0,9.2,30.894275,125.40278166666667
4.321,1010.4,19.0,98.0,8.0,30.744938333333334,125.49952833333333
2.201,1010.9,19.4,99.0,5.9,30.591679999999997,125.59520833333333
2.429,1010.9,19.7,99.0,3.8,30.323555000000002,125.74080833333333
1.933,1010.6,20.3,99.0,5.5,30.146853333333336,125.82867833333334
1.969,1010.2,20.7,98.0,4.2,29.998011666666667,125.90044833333334
2.37,1009.1,19.8,98.0,2.0,30.00268,125.73611166666666
1.743,1008.7,20.4,99.0,4.4,30.000021666666665,125.56680833333334
1.809,1008.9,19.7,99.0,3.4,29.99891333333333,125.501595
1.437,1009.4,19.1,99.0,1.2,29.998901666666665,125.50158833333334
0.966,1009.5,19.6,98.0,2.3,29.99890666666667,125.50157333333334
3.447,1010.4,19.8,98.0,2.7,30.001170000000002,125.34967166666665
2.462,1010.1,19.8,98.0,3.8,30.007063333333335,125.14752333333331
0.0,1009.4,20.1,98.0,3.1,29.995236666666663,124.97573
1.981,1008.4,20.6,98.0,4.3,29.99786333333333,124.77390166666667
1.764,1006.7,21.3,97.0,5.8,30.00224333333333,124.44863333333332
1.603,1006.2,20.8,96.0,6.5,29.99687666666667,124.29651999999999
1.217,1006.1,20.3,97.0,6.4,29.992473333333336,124.29307833333331
0.79,1005.6,20.4,98.0,8.4,29.996201666666668,124.29509999999999
4.068,1003.8,18.6,95.0,14.2,30.014450000000004,123.33323
1.211,1004.2,16.0,91.0,16.1,30.000791666666668,123.19528666666666
0.906,1004.2,16.1,93.0,12.9,30.002011666666668,123.09890333333334
1.516,1003.8,15.9,93.0,12.6,30.002178333333333,123.09884
1.692,1003.9,15.9,95.0,11.1,30.002126666666662,123.09888166666666
0.52,1007.5,17.0,92.0,17.9,29.99932666666667,122.85055333333334
1.506,1008.6,16.2,96.0,12.9,30.000231666666668,122.71664333333335
1.853,1009.5,16.4,95.0,15.1,30.129983333333332,122.63318666666667
1.497,1010.8,16.4,95.0,13.4,30.273658333333334,122.54686833333332
1.37,1011.1,15.3,95.0,15.0,30.421115,122.23724666666666
3.004,1012.0,15.1,97.0,13.0,30.507150000000003,122.21498333333331
2.101,1012.9,15.0,97.0,14.0,30.50433833333333,122.23756833333333
0.981,1013.8,14.7,96.0,13.7,30.505213333333334,122.23229833333335
1.7,1014.3,14.6,96.0,13.3,30.505586666666666,122.23092666666668
1.162,1016.1,14.3,96.0,11.8,30.508058333333327,122.22963
0.962,1016.4,14.9,88.0,10.8,30.507274999999996,122.22956666666666
0.393,1017.4,15.0,85.0,12.0,30.50611333333333,122.23083499999998
0.118,1016.2,14.6,89.0,11.4,30.506011666666673,122.23369666666667
0.28,1016.9,14.1,89.0,12.6,30.505334999999995,122.23247166666667
0.912,1017.5,13.0,91.0,12.6,30.505438333333334,122.23171
1.056,1018.3,14.1,85.0,11.7,30.508056666666665,122.22969833333332
1.664,1019.0,14.4,82.0,10.9,30.507420000000003,122.22963333333334
0.755,1019.0,14.0,80.0,12.1,30.506079999999997,122.23027833333333
0.342,1018.6,14.4,76.0,10.8,30.50592,122.231045
0.59,1018.3,14.5,76.0,13.9,30.50644666666667,122.23412666666665
0.445,1018.1,14.4,70.0,15.6,30.506023333333328,122.23385833333332
0.431,1018.4,14.2,71.0,13.3,30.505691666666667,122.23328333333332
0.835,1018.0,14.3,67.0,14.5,30.505271666666662,122.232125
1.464,1018.8,14.3,71.0,12.8,30.507166666666663,122.229565
1.762,1020.6,14.3,69.0,11.6,30.50781333333334,122.22957999999998
1.975,1020.7,14.2,67.0,10.4,30.506536666666662,122.23027500000002
1.262,1020.4,14.1,71.0,9.1,30.505995,122.23076
0.619,1019.9,13.9,54.0,9.3,30.50558,122.23257333333333
1.246,1019.8,13.8,55.0,10.1,30.506649999999997,122.23073166666667
0.859,1020.4,14.0,50.0,9.2,30.507888333333337,122.230675
1.97,1020.6,14.0,50.0,7.6,30.538816666666666,122.32487666666665
1.954,1020.4,14.2,48.0,7.8,30.51056,122.49212999999999
2.412,1020.1,14.0,52.0,9.4,30.492646666666666,122.66720833333332
1.81,1020.0,14.0,54.0,10.0,30.582408333333333,122.65333333333335
2.368,1019.2,13.8,60.0,10.1,30.752209999999998,122.593575
1.796,1018.7,13.6,62.0,10.5,30.91022166666667,122.54784166666668
1.395,1018.5,13.6,65.0,11.5,31.03232833333333,122.54851333333332
1.351,1018.7,13.5,68.0,9.7,31.15674833333333,122.55874833333334
2.055,1018.9,13.7,70.0,8.7,30.748555000000007,122.57229500000001
1.616,1019.5,14.1,70.0,5.0,30.104535,122.67156999999999
1.064,1019.0,14.4,68.0,6.8,29.618956666666666,122.80756666666666
0.556,1019.3,14.4,59.0,7.8,29.618911666666666,122.80751
1.498,1019.4,14.6,61.0,7.4,29.590895,122.88497833333335
2.162,1019.8,15.0,61.0,8.1,29.494126666666663,123.04592166666669
2.197,1020.4,15.7,50.0,7.3,29.463305,123.30631833333334
2.828,1019.6,15.8,46.0,7.0,29.31610333333333,123.38251333333335
2.326,1019.2,15.7,52.0,6.5,29.21080666666667,123.56761999999999
1.724,1019.0,15.6,54.0,6.0,29.17057833333333,123.65165
2.208,1017.6,15.6,51.0,6.8,29.072986666666665,123.83321000000001
2.356,1017.4,15.6,53.0,5.9,29.018314999999998,123.94064333333333
2.609,1017.7,15.7,54.0,4.8,28.974716666666666,124.01655833333334
2.41,1018.0,15.7,64.0,4.9,28.88513333333334,124.18814333333334
