BC,Pressure,Temperature,RH,Wind speed
1.771,1010.0,14.8,98.0,4.8
2.452,1009.5,16.3,98.0,4.7
2.685,1009.0,17.4,97.0,4.7
2.745,1008.6,18.6,91.0,4.8
2.163,1008.4,18.6,92.0,5.5
1.751,1008.2,18.6,93.0,7.4
1.858,1008.5,18.4,93.0,9.1
1.639,1009.1,17.5,95.0,7.9
1.255,1009.6,16.0,97.0,8.8
2.36,1010.3,15.6,98.0,8.9
0.781,1010.2,15.9,98.0,3.9
2.069,1010.3,15.7,98.0,8.0
1.318,1010.2,15.4,98.0,7.9
1.537,1010.3,15.5,98.0,6.7
1.927,1011.1,16.0,98.0,6.8
1.554,1011.6,16.5,98.0,5.5
0.713,1011.8,17.0,98.0,6.2
1.931,1011.2,17.1,98.0,6.4
2.572,1010.6,17.0,98.0,6.6
1.704,1010.0,17.1,98.0,6.4
2.03,1009.6,17.3,98.0,5.7
1.761,1009.5,17.4,98.0,6.2
1.915,1009.5,17.9,98.0,6.9
2.085,1009.7,18.1,98.0,7.3
2.535,1009.9,18.6,98.0,9.2
4.321,1010.4,19.0,98.0,8.0
2.201,1010.9,19.4,99.0,5.9
2.429,1010.9,19.7,99.0,3.8
1.933,1010.6,20.3,99.0,5.5
1.969,1010.2,20.7,98.0,4.2
2.37,1009.1,19.8,98.0,2.0
1.743,1008.7,20.4,99.0,4.4
1.809,1008.9,19.7,99.0,3.4
1.437,1009.4,19.1,99.0,1.2
0.966,1009.5,19.6,98.0,2.3
3.447,1010.4,19.8,98.0,2.7
2.462,1010.1,19.8,98.0,3.8
0.0,1009.4,20.1,98.0,3.1
1.981,1008.4,20.6,98.0,4.3
1.764,1006.7,21.3,97.0,5.8
1.603,1006.2,20.8,96.0,6.5
1.217,1006.1,20.3,97.0,6.4
0.79,1005.6,20.4,98.0,8.4
4.068,1003.8,18.6,95.0,14.2
1.211,1004.2,16.0,91.0,16.1
0.906,1004.2,16.1,93.0,12.9
1.516,1003.8,15.9,93.0,12.6
1.692,1003.9,15.9,95.0,11.1
0.52,1007.5,17.0,92.0,17.9
1.506,1008.6,16.2,96.0,12.9
1.853,1009.5,16.4,95.0,15.1
1.497,1010.8,16.4,95.0,13.4
1.37,1011.1,15.3,95.0,15.0
3.004,1012.0,15.1,97.0,13.0
