BC,Pressure,Temperature,RH,Wind speed
0.763,1008.7,14.7,67.0,1.4
2.869,1009.7,11.5,92.0,11.5
2.371,1010.1,11.5,95.0,6.0
1.895,1009.2,11.6,95.0,10.4
1.817,1008.7,11.4,95.0,9.0
1.36,1008.6,10.9,97.0,9.6
1.594,1008.6,11.0,97.0,9.5
0.869,1008.6,11.3,98.0,9.9
1.73,1009.2,11.5,98.0,10.5
2.33,1009.8,12.5,98.0,13.3
2.155,1010.2,12.4,98.0,11.5
1.684,1010.1,13.0,98.0,12.1
1.612,1010.0,13.5,97.0,12.4
1.088,1010.2,13.2,96.0,12.9
1.104,1010.1,13.3,97.0,9.4
1.146,1009.9,13.0,97.0,9.5
1.237,1009.8,13.3,97.0,9.8
1.261,1009.7,13.3,98.0,9.5
1.173,1009.8,13.2,98.0,8.6
1.177,1010.2,13.1,98.0,7.0
1.646,1010.5,13.3,98.0,7.7
1.571,1010.5,13.1,98.0,5.8
1.642,1010.6,13.3,98.0,6.5
1.123,1010.8,13.5,98.0,7.0
1.076,1010.5,14.1,98.0,6.2
0.973,1009.6,15.2,97.0,3.3
0.973,1009.7,14.9,97.0,4.6
1.393,1009.9,13.8,98.0,4.9
1.065,1010.3,13.7,98.0,4.1
1.441,1010.5,13.7,98.0,4.6
0.993,1010.2,13.6,98.0,4.7
0.738,1010.2,13.3,98.0,4.5
0.793,1009.6,12.4,98.0,4.4
0.685,1009.7,12.6,98.0,5.9
0.663,1010.0,12.7,98.0,5.7
0.189,1010.4,13.0,98.0,5.2
0.93,1010.7,13.2,98.0,4.5
0.161,1009.4,13.8,93.0,5.2
1.188,1008.7,13.4,95.0,5.5
0.976,1007.9,13.5,96.0,6.2
0.637,1008.3,13.2,96.0,7.1
1.195,1007.8,13.4,95.0,7.5
0.88,1008.3,13.6,96.0,8.4
1.322,1008.2,14.2,95.0,9.4
1.029,1007.5,13.3,94.0,8.5
0.506,1007.3,14.0,93.0,11.2
0.387,1007.4,14.2,93.0,11.9
0.397,1007.3,14.1,95.0,8.9
0.158,1007.8,13.1,97.0,10.0
0.577,1007.9,12.3,98.0,10.5
0.127,1008.0,12.0,98.0,7.0
0.17,1008.3,12.1,98.0,6.1
0.134,1008.5,11.8,98.0,4.0
0.3,1009.4,11.8,98.0,4.2
0.091,1009.2,12.5,98.0,4.7
1.101,1009.2,12.4,98.0,4.9
0.387,1008.4,12.5,98.0,5.2
0.276,1007.7,12.5,98.0,6.6
0.346,1007.1,12.5,98.0,5.7
0.107,1005.9,12.2,98.0,3.4
0.321,1005.3,12.7,98.0,2.6
0.626,1005.0,13.0,99.0,5.1
0.715,1005.1,13.1,99.0,6.3
0.589,1005.0,13.2,99.0,3.6
1.082,1004.5,13.6,99.0,5.2
0.446,1004.1,13.4,99.0,3.2
0.425,1004.1,13.6,99.0,1.6
