Dateandtime,BC1,BC2,BC3,BC4,BC5,BC6,BC7
2022-04-10 00:00:00,5.791,2.903,2.144,1.755,1.53,1.317,1.355
2022-04-10 01:00:00,1.034,1.101,1.028,0.886,0.832,0.804,0.795
2022-04-10 02:00:00,0.871,0.885,0.81,0.78,0.734,0.736,0.786
2022-04-10 03:00:00,0.776,0.744,0.673,0.642,0.598,0.575,0.576
2022-04-10 04:00:00,0.628,0.572,0.536,0.509,0.433,0.431,0.423
2022-04-10 05:00:00,0.818,0.804,0.711,0.68,0.64,0.654,0.665
2022-04-10 06:00:00,1.009,0.948,0.871,0.808,0.816,0.763,0.81
2022-04-10 07:00:00,-0.791,0.452,0.814,1.043,1.372,1.676,1.885
2022-04-10 08:00:00,3.021,1.758,1.385,1.22,1.138,1.004,0.993
2022-04-10 12:00:00,3.482,3.212,3.003,2.922,2.838,2.869,2.928
2022-04-10 13:00:00,3.744,2.952,2.609,2.454,2.383,2.371,2.429
2022-04-10 14:00:00,1.995,1.991,1.908,1.88,1.847,1.895,1.951
2022-04-10 15:00:00,1.885,1.915,1.815,1.757,1.759,1.817,1.88
2022-04-10 16:00:00,1.475,1.45,1.365,1.331,1.337,1.36,1.419
2022-04-10 17:00:00,1.834,1.734,1.624,1.613,1.572,1.594,1.646
2022-04-10 18:00:00,1.156,1.098,1.053,0.965,0.894,0.869,0.875
2022-04-10 19:00:00,2.23,1.959,1.816,1.753,1.709,1.73,1.777
2022-04-10 20:00:00,3.398,2.745,2.484,2.362,2.28,2.33,2.366
2022-04-10 21:00:00,3.536,2.753,2.452,2.302,2.179,2.155,2.141
2022-04-10 22:00:00,1.793,1.808,1.715,1.68,1.653,1.684,1.715
2022-04-10 23:00:00,1.515,1.596,1.585,1.59,1.519,1.612,1.629
2022-04-11 00:00:00,1.305,1.171,1.102,1.068,1.069,1.088,1.076
2022-04-11 01:00:00,1.118,1.136,1.109,1.111,1.061,1.104,1.143
2022-04-11 02:00:00,1.241,1.226,1.179,1.156,1.129,1.146,1.195
2022-04-11 03:00:00,1.219,1.232,1.22,1.197,1.176,1.237,1.275
2022-04-11 04:00:00,1.372,1.293,1.276,1.265,1.26,1.261,1.308
2022-04-11 05:00:00,1.197,1.195,1.126,1.162,1.111,1.173,1.191
2022-04-11 06:00:00,1.205,1.216,1.174,1.139,1.127,1.177,1.208
2022-04-11 07:00:00,2.422,1.952,1.733,1.678,1.653,1.646,1.688
2022-04-11 08:00:00,3.319,2.233,1.887,1.724,1.605,1.571,1.597
2022-04-11 09:00:00,1.735,1.717,1.672,1.66,1.602,1.642,1.672
2022-04-11 10:00:00,1.42,1.337,1.245,1.167,1.105,1.123,1.143
2022-04-11 11:00:00,2.211,1.683,1.439,1.246,1.128,1.076,1.097
2022-04-11 12:00:00,1.82,1.87,1.809,1.791,1.743,1.771,1.766
2022-04-11 13:00:00,2.544,2.481,2.388,2.352,2.319,2.452,2.499
2022-04-11 14:00:00,4.545,3.413,2.98,2.81,2.689,2.685,2.719
2022-04-11 15:00:00,3.234,2.997,2.845,2.77,2.717,2.745,2.794
2022-04-11 16:00:00,4.003,3.073,2.672,2.431,2.262,2.163,2.213
2022-04-11 17:00:00,2.778,2.245,2.009,1.898,1.789,1.751,1.812
2022-04-11 18:00:00,2.672,2.264,2.05,1.919,1.856,1.858,1.934
2022-04-11 19:00:00,3.22,2.246,1.893,1.757,1.648,1.639,1.693
2022-04-11 20:00:00,1.621,1.456,1.373,1.266,1.233,1.255,1.309
2022-04-11 21:00:00,3.965,3.087,2.681,2.545,2.371,2.36,2.364
2022-04-11 22:00:00,2.733,2.554,2.406,2.333,2.26,2.438,2.497
2022-04-11 23:00:00,2.094,1.967,1.795,1.734,1.704,1.885,1.927
2022-04-12 00:00:00,2.059,2.075,1.968,1.891,1.81,2.026,2.032
2022-04-12 01:00:00,2.154,2.059,1.942,1.915,1.867,1.938,1.94
2022-04-12 02:00:00,1.274,1.239,1.171,1.147,1.091,1.179,1.164
2022-04-12 03:00:00,0.8,0.8,0.757,0.768,0.739,0.781,0.806
2022-04-12 04:00:00,1.323,1.304,1.269,1.287,1.292,1.373,1.384
2022-04-12 05:00:00,1.971,2.041,1.96,1.986,1.95,2.069,2.128
2022-04-12 06:00:00,1.355,1.382,1.323,1.302,1.232,1.318,1.354
2022-04-12 07:00:00,1.371,1.402,1.346,1.338,1.371,1.537,1.567
2022-04-12 08:00:00,1.768,1.776,1.695,1.675,1.698,1.927,1.989
2022-04-12 09:00:00,1.439,1.493,1.447,1.414,1.371,1.554,1.62
2022-04-12 10:00:00,0.738,0.719,0.725,0.666,0.641,0.713,0.723
2022-04-12 11:00:00,4.407,3.047,2.574,2.38,2.231,2.23,2.243
2022-04-12 12:00:00,3.282,2.434,2.105,1.964,1.882,1.931,1.967
2022-04-12 13:00:00,3.845,3.001,2.653,2.503,2.388,2.572,2.618
2022-04-12 14:00:00,1.356,1.534,1.515,1.536,1.532,1.704,1.768
2022-04-12 15:00:00,1.861,2.026,1.939,1.954,1.899,2.03,2.145
2022-04-12 16:00:00,2.013,1.878,1.766,1.733,1.671,1.761,1.818
2022-04-12 17:00:00,2.731,2.214,1.993,1.918,1.84,1.915,1.963
2022-04-12 18:00:00,3.982,2.768,2.352,2.169,2.068,2.085,2.129
2022-04-12 19:00:00,3.463,3.026,2.752,2.672,2.549,2.535,2.58
2022-04-12 21:00:00,2.65,2.373,2.234,2.203,2.128,2.201,2.24
2022-04-12 22:00:00,2.16,1.891,1.758,1.728,1.727,1.788,1.805
2022-04-12 23:00:00,2.548,2.485,2.372,2.34,2.295,2.429,2.481
2022-04-13 00:00:00,2.069,1.991,1.899,1.875,1.813,1.933,1.921
2022-04-13 01:00:00,1.976,2.021,1.957,1.938,1.906,1.969,1.973
2022-04-13 02:00:00,1.958,1.964,1.906,1.85,1.812,1.801,1.819
2022-04-13 03:00:00,2.153,2.272,2.234,2.267,2.235,2.37,2.427
2022-04-13 04:00:00,1.572,1.644,1.619,1.649,1.647,1.743,1.808
2022-04-13 05:00:00,2.085,1.931,1.816,1.779,1.746,1.809,1.833
2022-04-13 06:00:00,1.433,1.478,1.416,1.401,1.384,1.437,1.473
2022-04-13 07:00:00,1.022,1.023,0.979,0.963,0.929,0.966,0.909
2022-04-13 08:00:00,1.433,1.143,1.051,1.022,0.976,0.937,0.935
2022-04-13 10:00:00,7.045,4.614,3.57,2.884,2.53,2.462,2.508
2022-04-13 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-13 13:00:00,3.789,2.647,2.221,2.035,1.955,1.981,2.001
2022-04-13 14:00:00,2.195,2.2,2.05,2.019,1.996,2.147,2.115
